time,thrust
0	,1131.975964
0.1	,1122.208555
0.2	,1112.621754
0.3	,1103.093618
0.4	,1093.681675
0.5	,1084.530794
0.6	,1075.367841
0.7	,1066.515197
0.8	,1057.70229
0.9	,1049.101129
1	,1040.646719
1.1	,1032.466504
1.2	,1024.262094
1.3	,1016.336093
1.4	,1008.543209
1.5	,1000.851766
1.6	,993.3223994
1.7	,986.021302
1.8	,978.7894972
1.9	,971.6508992
2	,964.7084786
2.1	,957.8675237
2.2	,951.2091556
2.3	,944.6487624
2.4	,938.2693474
2.5	,931.9520341
2.6	,925.7033006
2.7	,919.6580195
2.8	,913.6738994
2.9	,907.8663851
3	,902.1561675
3.1	,896.557398
3.2	,891.0936412
3.3	,885.6890693
3.4	,880.3431643
3.5	,875.1503986
3.6	,870.0533519
3.7	,865.0148287
3.8	,860.0334704
3.9	,855.1976544
4	,850.4565827
4.1	,845.7725072
4.2	,841.2455878
4.3	,836.7934724
4.4	,832.3974144
4.5	,828.057459
4.6	,823.8021651
4.7	,819.6866015
4.8	,815.6259349
4.9	,811.6298364
5	,807.7764732
5.1	,803.9834844
5.2	,800.2451305
5.3	,796.5625654
5.4	,792.9363322
5.5	,789.4194831
5.6	,786.0034204
5.7	,782.6430675
5.8	,779.339579
5.9	,776.0937416
6	,772.9067114
6.1	,769.818372
6.2	,766.8354812
6.3	,763.9135044
6.4	,761.0515211
6.5	,758.2486597
6.6	,755.5087176
6.7	,523.3208841
6.8	,498.6552444
6.9	,474.6489694
7	,451.3118513
7.1	,428.5740132
7.2	,406.5174456
7.3	,385.1926655
7.4	,364.6684926
7.5	,344.903455
7.6	,325.9163349
7.7	,307.7183965
7.8	,290.3063262
7.9	,273.6857127
8	,257.5362281
8.1	,242.3693524
8.2	,227.9846203
8.3	,214.3638042
8.4	,201.4865005
8.5	,189.3267982
8.6	,177.8631113
8.7	,166.7784234
8.8	,156.5545381
8.9	,146.9405737
9	,137.9021524
9.1	,129.41299
9.2	,121.437371
9.3	,113.9485589
9.4	,106.9165469
9.5	,110.5603607
9.6	,143.7806314
9.7	,102.5941135
9.8	,96.68779587
9.9	,91.11154651
10	,100.3716111
10.1,0.0
10.2,0.0